import time: self [us] | cumulative | imported package
import time:      1707 |       1707 |   _io
import time:        57 |         57 |   marshal
import time:       926 |        926 |   posix
import time:      1163 |       3852 | _frozen_importlib_external
import time:       133 |        133 |   time
import time:      1335 |       1468 | zipimport
import time:        54 |         54 |     _codecs
import time:       641 |        695 |   codecs
import time:      1161 |       1161 |   encodings.aliases
import time:      2057 |       3913 | encodings
import time:       518 |        518 | encodings.utf_8
import time:       137 |        137 | _signal
import time:        36 |         36 |     _abc
import time:       417 |        453 |   abc
import time:       460 |        912 | io
import time:        87 |         87 |       _stat
import time:       318 |        405 |     stat
import time:       922 |        922 |     _collections_abc
import time:        34 |         34 |       genericpath
import time:       322 |        356 |     posixpath
import time:       988 |       2669 |   os
import time:       162 |        162 |   _sitebuiltins
import time:       666 |        666 |   encodings.utf_8_sig
import time:     18753 |      18753 |   _virtualenv
import time:     22825 |      22825 |   _distutils_hack
import time:      4506 |       4506 |   sitecustomize
import time:     68419 |     117998 | site
import time:      9958 |       9958 |     hexai.core
import time:      1202 |       1202 |             types
import time:        97 |         97 |               _operator
import time:      1277 |       1373 |             operator
import time:       135 |        135 |                 itertools
import time:       663 |        663 |                 keyword
import time:       909 |        909 |                 reprlib
import time:        98 |         98 |                 _collections
import time:      2757 |       4561 |               collections
import time:        72 |         72 |               _functools
import time:      1781 |       6412 |             functools
import time:      2819 |      11804 |           enum
import time:        84 |         84 |             _sre
import time:       796 |        796 |               re._constants
import time:      1052 |       1847 |             re._parser
import time:       354 |        354 |             re._casefix
import time:      1816 |       4099 |           re._compiler
import time:       877 |        877 |           copyreg
import time:      2098 |      18877 |         re
import time:       790 |        790 |             _weakrefset
import time:      1457 |       2247 |           weakref
import time:      1250 |       3497 |         copy
import time:      1688 |       1688 |             _ast
import time:      1693 |       1693 |             contextlib
import time:      2925 |       6305 |           ast
import time:       818 |        818 |               _opcode
import time:      1402 |       2220 |             opcode
import time:      2240 |       4459 |           dis
import time:       989 |        989 |           collections.abc
import time:       994 |        994 |               warnings
import time:      1097 |       2090 |             importlib
import time:       362 |       2451 |           importlib.machinery
import time:       773 |        773 |               token
import time:        95 |         95 |               _tokenize
import time:      2330 |       3197 |             tokenize
import time:      1105 |       4301 |           linecache
import time:      4793 |      23297 |         inspect
import time:      2387 |      48056 |       dataclasses
import time:      1353 |       1353 |         _typing
import time:      4954 |       6307 |       typing
import time:      9446 |       9446 |             hexai.core.validation.converters
import time:     15360 |      24805 |           hexai.core.validation.basic_converters
import time:       775 |        775 |                   __future__
import time:      1414 |       1414 |                         _datetime
import time:      3796 |       5209 |                       datetime
import time:     27177 |      32385 |                     pydantic_core._pydantic_core
import time:      2020 |       2020 |                           numbers
import time:      2471 |       4491 |                         _decimal
import time:     22426 |      26916 |                       decimal
import time:       362 |        362 |                         _socket
import time:     10106 |      10468 |                       typing_extensions
import time:       988 |        988 |                               concurrent
import time:      2334 |       2334 |                                     textwrap
import time:      2284 |       4617 |                                   traceback
import time:       180 |        180 |                                     _string
import time:      2058 |       2238 |                                   string
import time:      2590 |       2590 |                                   threading
import time:        76 |         76 |                                   atexit
import time:     10403 |      19923 |                                 logging
import time:      1771 |      21693 |                               concurrent.futures._base
import time:      1338 |      24018 |                             concurrent.futures
import time:       110 |        110 |                             errno
import time:       118 |        118 |                               _heapq
import time:      1396 |       1514 |                             heapq
import time:       137 |        137 |                                 math
